TLR (100),RPC (100),GO (100),OI (100),PERCEPTION (100)
50.17,14.51,49.88,49.39,2.87
59.59,9.94,41.80,51.50,2.17
43.09,8.82,65.36,54.48,4.23
58.40,16.31,29.59,57.04,4.90
55.50,3.07,54.50,59.17,0.74
57.61,8.00,46.30,43.96,10.45
55.87,5.71,52.63,49.43,4.23
59.64,25.05,21.64,30.19,14.83
58.91,7.14,49.49,42.47,2.17
57.43,4.88,50.31,51.73,2.17
50.66,9.34,44.80,67.09,4.23
54.45,3.25,55.60,52.39,3.56
52.45,1.37,57.50,48.67,14.83
48.41,17.65,44.02,46.84,6.83
53.67,0.46,60.10,51.72,5.55
24.31,32.53,56.36,46.22,10.45
54.46,6.83,50.09,45.10,10.45
57.83,4.54,53.35,44.67,0.00
54.08,8.46,49.47,49.18,2.17
54.41,8.15,46.79,52.53,3.56
52.08,10.44,41.15,54.55,12.15
54.63,6.75,50.42,48.01,2.87
52.93,3.80,55.10,48.30,6.19
60.11,11.98,34.94,43.51,4.23
51.50,10.67,50.71,45.66,0.00
51.79,1.86,57.61,55.45,0.74
52.52,3.79,54.32,53.05,0.74
56.04,1.76,47.95,61.42,0.00
57.07,12.26,42.75,35.71,1.46
50.71,4.30,53.39,49.93,8.68
51.44,2.41,56.66,48.49,4.23
42.30,12.58,54.47,49.64,4.23
56.42,5.80,45.79,46.72,1.46
53.68,4.16,49.50,48.67,4.90
55.56,4.14,46.07,52.22,2.17
57.13,3.72,47.78,47.32,0.00
50.14,7.09,48.53,55.03,1.46
53.79,2.33,51.03,50.48,4.23
52.22,3.33,58.94,38.08,2.17
55.80,1.64,49.13,49.25,4.90
48.25,4.54,56.11,47.93,6.19
41.76,25.59,37.58,43.31,3.56
